code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,time_idx,month
US.AAPL,Apple,2025-12-29 00:00:00,272.69,273.76,274.36,272.35,36.697,0.00161,23715213,6488893756.0,0.13167520117045123,273.4,247,12
US.AAPL,Apple,2025-12-30 00:00:00,272.81,273.08,274.08,272.28,36.605,0.0015,22139617,6045117788.0,-0.2483927527761568,273.76,248,12
US.AAPL,Apple,2025-12-31 00:00:00,273.06,271.86,273.68,271.75,36.442,0.00185,27293639,7432044183.0,-0.4467555295151496,273.08,249,12
US.AAPL,Apple,2026-01-02 00:00:00,272.255,271.01,277.84,269.0,36.328,0.00257,37838054,10288911221.0,-0.3126609284190476,271.86,250,1
US.AAPL,Apple,2026-01-05 00:00:00,270.64,267.26,271.51,266.14,35.825,0.0031,45647190,12232326667.0,-1.3837127781262684,271.01,251,1
US.AAPL,Apple,2026-01-06 00:00:00,267.0,262.36,267.55,262.12,35.168,0.00355,52352090,13775832045.0,-1.8334206390780428,267.26,252,1
US.AAPL,Apple,2026-01-07 00:00:00,263.2,260.33,263.68,259.81,34.896,0.00328,48309804,12630075294.0,-0.7737459978655394,262.36,253,1
US.AAPL,Apple,2026-01-08 00:00:00,257.02,259.04,259.29,255.7,34.723,0.00344,50419337,12980437416.0,-0.4955249106902638,260.33,254,1
US.AAPL,Apple,2026-01-09 00:00:00,259.075,259.37,260.21,256.22,34.768,0.00273,39996967,10346430001.0,0.12739345274860409,259.04,255,1
US.AAPL,Apple,2026-01-12 00:00:00,259.16,260.25,261.3,256.8,34.886,0.00309,45263767,11768855263.0,0.3392836488414217,259.37,256,1
US.AAPL,Apple,2026-01-13 00:00:00,258.72,261.05,261.81,258.39,34.993,0.00312,45730847,11905900775.0,0.30739673390970657,260.25,257,1
US.AAPL,Apple,2026-01-14 00:00:00,259.49,259.96,261.82,256.71,34.847,0.00273,40019421,10374374475.0,-0.4175445316989205,261.05,258,1
US.AAPL,Apple,2026-01-15 00:00:00,260.65,258.21,261.04,257.05,34.612,0.00268,39388564,10199341674.0,-0.6731804893060471,259.96,259,1
US.AAPL,Apple,2026-01-16 00:00:00,257.9,255.53,258.9,254.93,34.253,0.00492,72142773,18486166352.0,-1.037914875488935,258.21,260,1
US.AAPL,Apple,2026-01-20 00:00:00,252.73,246.7,254.79,243.42,33.069,0.00547,80267517,19918322426.0,-3.4555629475991125,255.53,261,1
